director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,title_year,director_genre_actors
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,Avatar,2009.0,James Cameron CCH Pounder  Joel David Moore Wes Studi Action Adventure Fantasy Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: At World's End,2007.0,Gore Verbinski Johnny Depp  Orlando Bloom Jack Davenport Action Adventure Fantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,Spectre,2015.0,Sam Mendes Christoph Waltz  Rory Kinnear Stephanie Sigman Action Adventure Thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,The Dark Knight Rises,2012.0,Christopher Nolan Tom Hardy  Christian Bale Joseph Gordon-Levitt Action Thriller
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Star Wars: Episode VII - The Force Awakens            ,0.0,Doug Walker Doug Walker  Rob Walker unknown Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,John Carter,2012.0,Andrew Stanton Daryl Sabara  Samantha Morton Polly Walker Action Adventure Sci-Fi
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,Spider-Man 3,2007.0,Sam Raimi J.K. Simmons  James Franco Kirsten Dunst Action Adventure Romance
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled,2010.0,Nathan Greno Brad Garrett  Donna Murphy M.C. Gainey Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,Avengers: Age of Ultron,2015.0,Joss Whedon Chris Hemsworth  Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter and the Half-Blood Prince,2009.0,David Yates Alan Rickman  Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,Batman v Superman: Dawn of Justice,2016.0,Zack Snyder Henry Cavill  Lauren Cohan Alan D. Purwin Action Adventure Sci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Superman Returns,2006.0,Bryan Singer Kevin Spacey  Marlon Brando Frank Langella Action Adventure Sci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Quantum of Solace,2008.0,Marc Forster Giancarlo Giannini  Mathieu Amalric Rory Kinnear Action Adventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: Dead Man's Chest,2006.0,Gore Verbinski Johnny Depp  Orlando Bloom Jack Davenport Action Adventure Fantasy
